0:0:0:0:0:0:0:1 - - [27/Apr/2016:10:02:30 -0300] "GET /Restful-API-TAG/ HTTP/1.1" 200 768
0:0:0:0:0:0:0:1 - - [27/Apr/2016:10:02:31 -0300] "GET /Restful-API-TAG/styles.css HTTP/1.1" 200 374
0:0:0:0:0:0:0:1 - - [27/Apr/2016:10:02:40 -0300] "GET /Restful-API-TAG/ HTTP/1.1" 200 769
0:0:0:0:0:0:0:1 - - [27/Apr/2016:10:02:41 -0300] "GET /Restful-API-TAG/styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2016:10:04:51 -0300] "GET /Restful-API-TAG/ HTTP/1.1" 200 782
0:0:0:0:0:0:0:1 - - [27/Apr/2016:10:04:51 -0300] "GET /Restful-API-TAG/styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2016:10:05:00 -0300] "GET /Restful-API-TAG/ HTTP/1.1" 200 784
0:0:0:0:0:0:0:1 - - [27/Apr/2016:10:05:00 -0300] "GET /Restful-API-TAG/styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2016:10:07:37 -0300] "GET /Restful-API-TAG/ HTTP/1.1" 200 766
0:0:0:0:0:0:0:1 - - [27/Apr/2016:10:07:37 -0300] "GET /Restful-API-TAG/css/styles.css HTTP/1.1" 200 374
0:0:0:0:0:0:0:1 - - [27/Apr/2016:10:08:05 -0300] "GET /Restful-API-TAG/ HTTP/1.1" 200 766
0:0:0:0:0:0:0:1 - - [27/Apr/2016:10:08:06 -0300] "GET /Restful-API-TAG/css/styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2016:10:09:16 -0300] "GET /Restful-API-TAG/ HTTP/1.1" 200 820
0:0:0:0:0:0:0:1 - - [27/Apr/2016:10:09:17 -0300] "GET /Restful-API-TAG/css/styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2016:10:09:17 -0300] "GET /Restful-API-TAG/css/bootstrap.min.css HTTP/1.1" 404 1025
0:0:0:0:0:0:0:1 - - [27/Apr/2016:10:09:29 -0300] "GET /Restful-API-TAG/ HTTP/1.1" 200 773
0:0:0:0:0:0:0:1 - - [27/Apr/2016:10:09:29 -0300] "GET /Restful-API-TAG/css/bootstrap.min.css HTTP/1.1" 404 1025
0:0:0:0:0:0:0:1 - - [27/Apr/2016:10:09:49 -0300] "GET /Restful-API-TAG/ HTTP/1.1" 200 773
0:0:0:0:0:0:0:1 - - [27/Apr/2016:10:09:49 -0300] "GET /Restful-API-TAG/css/bootstrap.min.css HTTP/1.1" 404 1025
0:0:0:0:0:0:0:1 - - [27/Apr/2016:10:09:50 -0300] "GET /Restful-API-TAG/ HTTP/1.1" 200 773
0:0:0:0:0:0:0:1 - - [27/Apr/2016:10:09:50 -0300] "GET /Restful-API-TAG/css/bootstrap.min.css HTTP/1.1" 404 1025
0:0:0:0:0:0:0:1 - - [27/Apr/2016:10:09:51 -0300] "GET /Restful-API-TAG/ HTTP/1.1" 200 773
0:0:0:0:0:0:0:1 - - [27/Apr/2016:10:09:51 -0300] "GET /Restful-API-TAG/css/bootstrap.min.css HTTP/1.1" 404 1025
0:0:0:0:0:0:0:1 - - [27/Apr/2016:10:10:02 -0300] "GET /Restful-API-TAG/ HTTP/1.1" 200 820
0:0:0:0:0:0:0:1 - - [27/Apr/2016:10:10:02 -0300] "GET /Restful-API-TAG/css/styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2016:10:10:02 -0300] "GET /Restful-API-TAG/css/bootstrap.min.css HTTP/1.1" 200 121260
